
307	390	392	1817	11	02	Examiner	1817.11.02_TheExaminer_0006	1817	11	01	Morning Chronicle	1817.11.01_TheMorningChronicle_0002
294	477	467	1817	11	03	Caledonian Mercury	1817.11.03_CaledonianMercury_0001	1817	11	01	Caledonian Mercury	1817.11.01_CaledonianMercury_0001
238	384	357	1817	11	03	Caledonian Mercury	1817.11.03_CaledonianMercury_0002	1817	11	01	Ipswich Journal	1817.11.01_TheIpswichJournal_0002
331	525	525	1817	11	03	Morning Chronicle	1817.11.03_TheMorningChronicle_0001	1817	11	01	Morning Chronicle	1817.11.01_TheMorningChronicle_0001
212	335	327	1817	11	03	Morning Chronicle	1817.11.03_TheMorningChronicle_0003	1817	11	02	Examiner	1817.11.02_TheExaminer_0007
227	390	381	1817	11	03	Morning Chronicle	1817.11.03_TheMorningChronicle_0004	1817	11	01	Morning Chronicle	1817.11.01_TheMorningChronicle_0004
254	387	403	1817	11	04	Hull Packet	1817.11.04_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0002	1817	11	03	Caledonian Mercury	1817.11.03_CaledonianMercury_0001
534	855	838	1817	11	05	Morning Chronicle	1817.11.05_TheMorningChronicle_0001	1817	11	01	Morning Chronicle	1817.11.01_TheMorningChronicle_0001
292	508	499	1817	11	05	Morning Chronicle	1817.11.05_TheMorningChronicle_0001	1817	11	03	Morning Chronicle	1817.11.03_TheMorningChronicle_0001
776	1193	1166	1817	11	05	Morning Chronicle	1817.11.05_TheMorningChronicle_0004	1817	11	01	Morning Chronicle	1817.11.01_TheMorningChronicle_0004
351	538	545	1817	11	05	Morning Chronicle	1817.11.05_TheMorningChronicle_0004	1817	11	03	Morning Chronicle	1817.11.03_TheMorningChronicle_0004
361	570	577	1817	11	06	Caledonian Mercury	1817.11.06_CaledonianMercury_0001	1817	11	03	Caledonian Mercury	1817.11.03_CaledonianMercury_0003
254	371	352	1817	11	06	Caledonian Mercury	1817.11.06_CaledonianMercury_0002	1817	11	01	Morning Chronicle	1817.11.01_TheMorningChronicle_0001
