PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
307	505	501	1803	09	02	Morning Chronicle	1803.09.02_TheMorningChronicle_0001	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0001
470	770	769	1803	09	02	Morning Chronicle	1803.09.02_TheMorningChronicle_0001	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0002
424	726	726	1803	09	02	Morning Chronicle	1803.09.02_TheMorningChronicle_0004	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0004
252	395	401	1803	09	03	Jackson’s Oxford Journal	1803.09.03_Jackson'sOxfordJournal_0002	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0003
332	486	488	1803	09	03	Jackson’s Oxford Journal	1803.09.03_Jackson'sOxfordJournal_0002	1803	09	02	Morning Chronicle	1803.09.02_TheMorningChronicle_0002
249	412	405	1803	09	03	Ipswich Journal	1803.09.03_TheIpswichJournal_0004	1803	09	01	Derby Mercury	1803.09.01_TheDerbyMercury_0001
350	609	607	1803	09	03	Morning Chronicle	1803.09.03_TheMorningChronicle_0001	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0001
270	410	409	1803	09	03	Newcastle Courant	1803.09.03_TheNewcastleCourantetc_0002	1803	09	03	Ipswich Journal	1803.09.03_TheIpswichJournal_0004
290	479	468	1803	09	03	Newcastle Courant	1803.09.03_TheNewcastleCourantetc_0003	1803	09	01	Derby Mercury	1803.09.01_TheDerbyMercury_0001
224	377	383	1803	09	03	Newcastle Courant	1803.09.03_TheNewcastleCourantetc_0003	1803	09	03	Jackson’s Oxford Journal	1803.09.03_Jackson'sOxfordJournal_0001
276	483	460	1803	09	03	Newcastle Courant	1803.09.03_TheNewcastleCourantetc_0003	1803	09	03	Ipswich Journal	1803.09.03_TheIpswichJournal_0004
206	369	375	1803	09	05	Hampshire/Portsmouth Telegraph	1803.09.05_HampshireTelegraphandSussexChronicleetc_0001	1803	09	03	Newcastle Courant	1803.09.03_TheNewcastleCourantetc_0003
508	851	844	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0001	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0001
402	727	729	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0002	1803	09	03	Cobbett’s Weekly Political Register	1803.09.03_Cobbett'sAnnualRegister_0005
404	695	690	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0004	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0004
308	536	536	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0004	1803	09	02	Morning Chronicle	1803.09.02_TheMorningChronicle_0004
341	592	594	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0004	1803	09	03	Morning Chronicle	1803.09.03_TheMorningChronicle_0004
315	549	506	1803	09	07	Aberdeen Journal	1803.09.07_TheAberdeenJournal_0002	1803	09	06	Hull Packet	1803.09.06_TheHullPacket_0004
248	405	393	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0001	1803	09	05	Hampshire/Portsmouth Telegraph	1803.09.05_HampshireTelegraphandSussexChronicleetc_0004
200	278	268	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0002	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0002
421	685	681	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0004	1803	09	01	Derby Mercury	1803.09.01_TheDerbyMercury_0004
312	473	453	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0004	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0003
274	386	370	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0004	1803	09	03	Morning Chronicle	1803.09.03_TheMorningChronicle_0003
282	436	427	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0004	1803	09	03	Newcastle Courant	1803.09.03_TheNewcastleCourantetc_0003
239	413	402	1803	09	08	Morning Chronicle	1803.09.08_TheMorningChronicle_0001	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0001
873	1427	1454	1803	09	08	Morning Chronicle	1803.09.08_TheMorningChronicle_0004	1803	09	01	Morning Chronicle	1803.09.01_TheMorningChronicle_0004
273	473	475	1803	09	08	Morning Chronicle	1803.09.08_TheMorningChronicle_0004	1803	09	05	Morning Chronicle	1803.09.05_TheMorningChronicle_0004
221	345	336	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0001	1803	09	02	Morning Chronicle	1803.09.02_TheMorningChronicle_0001
246	352	370	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0001	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0002
642	1008	1000	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0002	1803	09	01	Trewman’s Exeter Flying Post	1803.09.01_Trewman'sExeterFlyingPost_0001
228	389	394	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0003	1803	09	01	Derby Mercury	1803.09.01_TheDerbyMercury_0004
224	411	416	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0003	1803	09	01	Trewman’s Exeter Flying Post	1803.09.01_Trewman'sExeterFlyingPost_0003
221	374	357	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0003	1803	09	03	Newcastle Courant	1803.09.03_TheNewcastleCourantetc_0002
240	363	352	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0003	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0004
299	493	503	1803	09	08	Trewman’s Exeter Flying Post	1803.09.08_Trewman'sExeterFlyingPost_0004	1803	09	08	Derby Mercury	1803.09.08_TheDerbyMercury_0003
423	646	657	1803	09	09	Morning Chronicle	1803.09.09_TheMorningChronicle_0001	1803	09	08	Morning Chronicle	1803.09.08_TheMorningChronicle_0001
600	1019	1035	1803	09	09	Morning Chronicle	1803.09.09_TheMorningChronicle_0004	1803	09	02	Morning Chronicle	1803.09.02_TheMorningChronicle_0004
